ACCOUNT,SZÁMLA
SIDE,OLDAL
SIDEWALK,JÁRDA
SIGN,KÉZJEL
SILK,SELYEM
SILVER,EZÜST
SINK,MOSOGATÓ
SISTER,NŐVÉR
SIZE,MÉRET
SKATE,KORCSOLYA
SKI,SÍLÉC
SKIN,SZŐR
SKIRT,SZOKNYA
SKULL,KOPONYA
SKY,ÉG
SKYSCRAPER,FELHŐKARCOLÓ
SLAVE,RABSZOLGA
SLED,SZÁNKÓ
SLEEP,ALVÁS
SLEET,BALATON
SLING,PARITTYA
SLIP,CSÚSZDA
SLIPPER,PAPUCS
SLOPE,LEJTŐ
SLOTH,LAJHÁR
SLUG,CSIGA
SMASH,TÖRÉS
SMELL,SZAG
SMILE,MOSOLY
SMOKE,FÜST
SMOOTHIE,TURMIX
SMUGGLER,CSEMPÉSZ
SNAIL,SIKLÓ
SNAKE,KÍGYÓ
SNAP,CSATTANÁS
SNEEZE,TÜSSZENTÉS
SNOW,HÓ
SNOWMAN,HÓEMBER
SOAP,SZAPPAN
SOCIETY,TÁRSADALOM
SOCK,ZOKNI
SODA,SZÓDA
SOFA,KANAPÉ
SOLDIER,KATONA
SOLO,SZÓLÓ
SON,FIÚ
SONG,DAL
SORT,FAJ
SOUL,LÉLEK
SOUND,HANG
SOUP,LEVES
SPACE,TÉR
SPADE,ÁSÓ
SPARK,SZIKRA
SPELL,VARÁZSLAT
SPHINX,SZFINKSZ
SPIDER,PÓK
SPIKE,TÜSKE
SPINE,GERINC
SPIRIT,SZELLEM
SPONGE,SZIVACS
SPOON,KANÁL
SPOT,FOLT
SPRAY,DEZODOR
SPRING,TAVASZ
SPY,KÉM
SQUARE,NÉGYZET
SQUASH,FALLABDA
SQUIRREL,MÓKUS
ST.PATRICK,SZILVESZTER
STABLE,LOVARDA
STADIUM,STADION
STAFF,SZEMÉLYZET
STAGE,SZÍNPAD
STAMP,BÉLYEG
STAR,CSILLAG
START,RAJT
STATE,ÁLLAPOT
STATEMENT,NYILATKOZAT
STATION,ÁLLOMÁS
STEAM,GŐZ
STEEL,ACÉL
STEM,CSÍRA
STEP,LÉPÉS
STETHOSCOPE,SZTETOSZKÓP
STEW,PÖRKÖLT
STICK,PÁLCA
STICKER,MATRICA
STITCH,ÖLTÉS
STOCK,KÉSZLET
STOCKING,HARISNYA
STOMACH,GYOMOR
STONE,KŐ
STOP,STOP
STORE,RAKTÁR
STORM,VIHAR
STORY,TÖRTÉNET
STOVE,TŰZHELY
STRANGER,JÖVEVÉNY
STRAW,SZALMA
STREAM,FOLYAM
STREET,UTCA
STRETCH,BEMELEGÍTÉS
STRIKE,SZTRÁJK
STRING,HÚR
STRUCTURE,SZERKEZET
SUB,SZENDVICS
SUBSTANCE,ANYAG
SUGAR,CUKOR
SUGGESTION,JAVASLAT
SUIT,ÖLTÖNY
SUMMER,NYÁR
SUMO,SZUMÓ
SUN,BOLYGÓ
SUPERHERO,SZUPERHŐS
SUPPORT,TÁMOGATÁS
SURPRISE,MEGLEPETÉS
SWAMP,INGOVÁNY
SWEAT,IZZADTSÁG
SWEATER,PULÓVER
SWIM,ÚSZÁS
SWING,HINTA
SWITCH,KAPCSOLÓ
SWORD,KARD
SYSTEM,RENDSZER
TABLE,ASZTAL
TABLET,TABLET
TAG,CÍMKE
TAIL,FAROK
TALK,BESZÉLGETÉS
TANK,TANK
TAP,CSAP
TASTE,ÍZ
TATTOO,TETOVÁLÁS
TAX,ADÓ
TEA,TEA
TEACHER,TANÁR
TEAM,CSAPAT
TEAR,KÖNNY
TEETH,FOG
TELESCOPE,TÁVCSŐ
TEMPER,KEDÉLY
TEMPLE,SZENTÉLY
TENT,SÁTOR
TERRITORY,TERÜLET
TEST,TESZT
TEXAS,TISZA
TEXTURE,SZÖVET
THEATER,SZÍNHÁZ
THEORY,ELMÉLET
THIEF,TOLVAJ
THING,DOLOG
THOUGHT,GONDOLAT
THREAD,CÉRNA
THRILL,IZGALOM
THROAT,TOROK
THRONE,TRÓN
THUMB,HÜVELYKUJJ
THUNDER,MENNYDÖRGÉS
TICK,KETYEGÉS
TICKET,JEGY
TIE,NYAKKENDŐ
TIGER,TIGRIS
TIME,IDŐ
TIN,INGA
TIP,BORRAVALÓ
TITLE,CÍM
TOAD,VARANGY
TOAST,PIRÍTÓS
TOE,LÁBUJJ
TOKYO,TOKIÓ
TOMATO,PARADICSOM
TONGUE,NYELV
TOOTH,FOGKŐ
TOOTHBRUSH,FOGKEFE
TOOTHPASTE,FOGKRÉM
TOP,FELSŐ
TORCH,FÁKLYA
TORNADO,TORNÁDÓ
TOUCH,ÉRINTÉS
TOWER,TORONY
TOWN,VÁROS
TOY,JÁTÉKSZER
TRACK,VÁGÁNY
TRADE,KERESKEDELEM
TRAIL,ÖSVÉNY
TRAIN,VONAT
TRAMP,CSAVARGÓ
TRANSPORT,SZÁLLÍTÁS
TRAY,TÁLCA
TREATMENT,KEZELÉS
TREE,FA
TRIANGLE,HÁROMSZÖG
TRICK,TRÜKK
TRIP,TÚRA
TROLL,TROLL
TROUBLE,BAJ
TRUCK,KAMION
TRUNK,TÖRZS
TUB,KÁD
TUBE,METRÓ
TUNNEL,ALAGÚT
TURKEY,PULYKA
TURN,FORDULAT
TURTLE,TEKNŐS
TUTU,TÜTÜ
TUXEDO,SZMOKING
TWIG,GALLY
TWIST,CSÁRDÁS
UMBRELLA,ESERNYŐ
UNCLE,NAGYBÁCSI
UNDERTAKER,SÍRÁSÓ
UNDERWEAR,ALSÓ
UNICORN,EGYSZARVÚ
UNIT,MÉRTÉKEGYSÉG
UNIVERITY,EGYETEM
VACATION,VAKÁCIÓ
VACUUM,PORSZÍVÓ
VALENTINE,SZERETŐ
VALUE,ÉRTÉK
VAMPIRE,VÁMPÍR
VAN,TEHERAUTÓ
VASE,VÁZA
VEGETABLE,ZÖLDSÉG
VEIL,FÁTYOL
VEIN,VÉNA
VENUS,VÉNUSZ
VERSE,VERSSZAK
VESSEL,HAJÓ
VEST,MELLÉNY
VET,ÁLLATORVOS
VIEW,KILÁTÁS
VIKING,VIKING
VIOLET,IBOLYA
VIRUS,VÍRUS
VISITOR,LÁTOGATÓ
VOICE,ÉNEKHANG
VOLCANO,VULKÁN
VOLLEYBALL,RÖPLABDA
VOLUME,HANGERŐ
VOYAGE,HAJÓÚT
WAGON,KOCSI
WAITRESS,PINCÉRNŐ
WAKE,ÉBERSÉG
WALK,SÉTA
WALL,FAL
WALRUS,ROZMÁR
WAR,HÁBORÚ
WASH,MOSÁS
WASHER,MOSÓGÉP
WASHINGTON,WASHINGTON
WASTE,PAZARLÁS
WATCH,KARÓRA
WATER,VÍZ
WAVE,HULLÁM
WAX,VIASZ
WAY,MÓD
WEALTH,JÓLÉT
WEATHER,IDŐJÁRÁS
WEB,HÁLÓ
WEDDING,ESKÜVŐ
WEEK,HÉT
WEIGHT,SÚLY
WELL,KÚT
WEREWOLF,VÉRFARKAS
WHALE,BÁLNA
WHEEL,KERÉK
WHEELCHAIR,KEREKESSZÉK
WHIP,OSTOR
WHISTLE,SÍP
WILDERNESS,VADON
WIND,SZÉL
WINDOW,ABLAK
WINE,BOR
WING,SZÁRNY
WINTER,TÉL
WIRE,HUZAL
WISH,KÍVÁNSÁG
WITCH,BOSZORKÁNY
WIZARD,VARÁZSLÓ
WOMAN,NŐ
WOMEN,LÁNY
WONDERLAND,MESE
WOOD,FAISKOLA
WOOL,GYAPJÚ
WORD,SZÓ
WORK,MUNKA
WORM,FÉREG
WOUND,SEB
WREN,ÖKÖRSZEM
WRENCH,CSAVARKULCS
WRIST,CSUKLÓ
WRITER,ÍRÓ
WRITING,ÍRÁS
YAK,CSÓNAK
YAM,TUTAJ
YARD,UDVAR
YARN,FONAL
YEAR,ÉV
YELLOWSTONE,HORTOBÁGY
YOKE,IGA
YORK,FALU
ZEBRA,ZEBRA
ZEPHYR,NIMFA
ZINC,CINK
ZIPPER,CIPZÁR
ZOMBIE,ZOMBI
ZOO,ÁLLATKERT
